iter	Passed	Remaining
624	6409	3845
625	6421	3836
626	6430	3825
627	6441	3815
628	6454	3807
629	6465	3797
630	6477	3788
631	6488	3778
632	6503	3770
633	6515	3761
634	6527	3751
635	6539	3742
636	6550	3732
637	6559	3721
638	6573	3713
639	6584	3703
640	6594	3693
641	6605	3683
642	6618	3674
643	6630	3665
644	6640	3654
645	6651	3644
646	6663	3635
647	6674	3625
648	6687	3616
649	6700	3608
650	6710	3597
651	6720	3587
652	6733	3578
653	6744	3568
654	6753	3557
655	6766	3548
656	6779	3539
657	6789	3528
658	6801	3519
659	6813	3509
660	6823	3499
661	6833	3489
662	6846	3479
663	6855	3469
664	6867	3459
665	6878	3449
666	6890	3440
667	6901	3429
668	6914	3421
669	6927	3412
670	6936	3401
671	6949	3391
672	6963	3383
673	6974	3373
674	6986	3363
675	6997	3353
676	7009	3344
677	7018	3333
678	7030	3323
679	7041	3313
680	7050	3302
681	7061	3292
682	7074	3283
683	7085	3273
684	7095	3262
685	7106	3252
686	7116	3242
687	7126	3231
688	7137	3221
689	7148	3211
690	7158	3201
691	7169	3191
692	7179	3180
693	7189	3170
694	7200	3159
695	7209	3149
696	7222	3139
697	7232	3129
698	7243	3119
699	7254	3109
700	7265	3098
701	7274	3088
702	7285	3078
703	7296	3067
704	7306	3057
705	7317	3047
706	7327	3036
707	7337	3026
708	7346	3015
709	7356	3004
710	7369	2995
711	7379	2984
712	7388	2974
713	7402	2964
714	7421	2958
715	7439	2951
716	7451	2941
717	7463	2931
718	7474	2921
719	7484	2910
720	7495	2900
721	7506	2890
722	7516	2879
723	7528	2869
724	7541	2860
725	7552	2850
726	7564	2840
727	7577	2831
728	7591	2822
729	7603	2812
730	7614	2802
731	7631	2793
732	7644	2784
733	7657	2775
734	7673	2766
735	7687	2757
736	7702	2748
737	7713	2738
738	7725	2728
739	7737	2718
740	7748	2708
741	7758	2697
742	7769	2687
743	7779	2676
744	7790	2666
745	7800	2656
746	7810	2645
747	7820	2634
748	7830	2624
749	7841	2613
750	7850	2602
751	7860	2592
752	7871	2582
753	7882	2571
754	7893	2561
755	7903	2550
756	7913	2540
757	7925	2530
758	7936	2520
759	7948	2510
760	7958	2499
761	7969	2489
762	7981	2479
763	8007	2473
764	8030	2467
765	8045	2457
766	8061	2449
767	8072	2438
768	8083	2428
769	8095	2418
770	8105	2407
771	8117	2397
772	8128	2387
773	8138	2376
774	8148	2365
775	8159	2355
776	8170	2344
777	8180	2334
778	8191	2323
779	8200	2312
780	8211	2302
781	8221	2292
782	8232	2281
783	8244	2271
784	8253	2260
785	8263	2249
786	8274	2239
787	8284	2228
788	8294	2218
789	8303	2207
790	8313	2196
791	8325	2186
792	8334	2175
793	8345	2165
794	8356	2154
795	8365	2143
796	8375	2133
797	8386	2122
798	8395	2112
799	8405	2101
800	8416	2091
801	8428	2080
802	8440	2070
803	8450	2060
804	8460	2049
805	8470	2038
806	8479	2027
807	8487	2016
808	8498	2006
809	8510	1996
810	8523	1986
811	8532	1975
812	8543	1965
813	8555	1954
814	8567	1944
815	8577	1934
816	8590	1924
817	8602	1913
818	8611	1903
819	8625	1893
820	8636	1883
821	8647	1872
822	8657	1861
823	8669	1851
824	8680	1841
825	8690	1830
826	8702	1820
827	8715	1810
828	8725	1799
829	8737	1789
830	8749	1779
831	8760	1768
832	8770	1758
833	8781	1747
834	8790	1737
835	8801	1726
836	8812	1716
837	8821	1705
838	8833	1695
839	8845	1684
840	8855	1674
841	8866	1663
842	8879	1653
843	8890	1643
844	8901	1632
845	8913	1622
846	8923	1611
847	8933	1601
848	8945	1590
849	8954	1580
850	8966	1569
851	8979	1559
852	8990	1549
853	9001	1538
854	9013	1528
855	9025	1518
856	9034	1507
857	9045	1496
858	9055	1486
859	9063	1475
860	9074	1465
861	9085	1454
862	9096	1443
863	9106	1433
864	9114	1422
865	9124	1411
866	9136	1401
867	9146	1390
868	9157	1380
869	9168	1370
870	9178	1359
871	9188	1348
872	9198	1338
873	9208	1327
874	9218	1316
875	9227	1306
876	9237	1295
877	9245	1284
878	9256	1274
879	9265	1263
880	9275	1252
881	9285	1242
882	9293	1231
